[319111]: 609ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:716 CSpxAudioStreamSession::AddRecognizer
[703432]: 856ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE56A9E8; name='SPEECH-RecoMode'; value=''
[703432]: 856ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxPropertyBagImpl::SetStringValue: this=0x00000152CE53C798; name='SPEECH-RecoMode'; value='CONVERSATION'
[703432]: 856ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1103 CSpxAudioStreamSession::StartRecognitionAsync
[703432]: 856ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x00000152B3FE5F00
[703432]: 856ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x00000152B3FE5F00, p=0x00000152B3FE5F00, tot=1
[59973]: 856ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1106 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[346210]: 857ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1163 CSpxAudioStreamSession::StartRecognizing
[346210]: 857ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1164 [00000152CE53C6B0]CSpxAudioStreamSession::StartRecognizing
[346210]: 857ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3425 [00000152CE53C6B0]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[346210]: 857ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1184 [00000152CE53C6B0]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[346210]: 857ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3040 CSpxAudioStreamSession::StartAudioPump
[346210]: 857ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3041 [00000152CE53C6B0]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [00000152CDF3E610]
[346210]: 857ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1404 [00000152CE53C6B0]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[346210]: 857ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1415 [00000152CE53C6B0]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: ead52543950440c0ad3d7225d89d1f47
[948474]: 857ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1682 DispatchEvent task started...
[346210]: 857ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE53C798; name='SPEECH-MaxBufferSizeMs'; value='66000'
[948474]: 857ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxSessionEventArgs' as '418547108'
[346210]: 857ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE53C798; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[346210]: 857ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE53C798; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
[948474]: 857ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x00000152CE56B810
[948474]: 857ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxSessionEventArgs, h=0x00000152CE56B810, p=0x00000152CE56B810, tot=1
[346210]: 857ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:100 [00000152CE566900] Is VAD Gating = 0, Is RNNT reco engine = 0, Is conversation transcriber = 0, Is async transcriber  = 0, fastLane = 5000 msec (160000 bytes), maxDuration = 66000 msec, highDuration = 33000 msec, lowDuration = 5940 msec, lowRate = 100%, highRate = 200%
[346210]: 857ms SPX_DBG_TRACE_FUNCTION:  audio_buffer.cpp:92 PcmAudioBuffer::NewTurn
[346210]: 857ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2700 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter
[346210]: 857ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:2704 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter EnsureResetEngineEngineAdapterComplete
[346210]: 857ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2799 CSpxAudioStreamSession::EnsureResetEngineEngineAdapterComplete
[346210]: 858ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2729 CSpxAudioStreamSession::InitRecoEngineAdapter
[346210]: 858ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxUspRecoEngineAdapterRetry' as '806006714'
[346210]: 858ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE53C798; name='SPEECH-Region'; value='***** Error!! REGION not found ... USE "spx config @region --set PUT-YOUR-REGION-HERE"'
[346210]: 858ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxPropertyBagImpl::SetStringValue: this=0x00000152CE53C798; name='INTENT-region'; value='***** Error!! REGION not found ... USE "spx config @region --set PUT-YOUR-REGION-HERE"'
[346210]: 858ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3110 [00000152CE53C6B0]CSpxAudioStreamSession::StartAudioPump: Starting pump[00000152CDF3E610]...
[346210]: 858ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxBufferData' as '705421989'
[346210]: 858ms SPX_TRACE_VERBOSE:  buffer_data.cpp:114 [00000152B3F39320]CSpxBufferData::EnsureInitRingBuffer - Init
[346210]: 858ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[346210]: 858ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE53C798; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[346210]: 858ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE53C798; name='AudioConfig_SampleRateForCapture'; value='16000'
[346210]: 858ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE53C798; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[346210]: 858ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[346210]: 858ms SPX_DBG_TRACE_SCOPE_ENTER:  microphone_pump_base.cpp:113 MicrophonePumpBase::StartPump() ...
[346210]: 858ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:125 CSpxMicrophonePumpBase::StartPump starting audio input
[882266]: 859ms SPX_DBG_TRACE_SCOPE_ENTER:  microphone_pump_base.cpp:179 MicrophonePumpBase::UpdateState() ...
[882266]: 859ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:183 CSpxMicrophonePumpBase::UpdateState: UpdateState with state as 0.
[882266]: 859ms SPX_DBG_TRACE_SCOPE_EXIT:  microphone_pump_base.cpp:179 MicrophonePumpBase::UpdateState ... Done!
[948474]: 871ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1682 DispatchEvent task complete!
[346210]: 880ms SPX_DBG_TRACE_VERBOSE:  microphone_pump_base.cpp:128 CSpxMicrophonePumpBase::StartPump audio input started!
[346210]: 880ms SPX_DBG_TRACE_SCOPE_EXIT:  microphone_pump_base.cpp:113 MicrophonePumpBase::StartPump ... Done!
[346210]: 880ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3040 CSpxAudioStreamSession::StartAudioPump
[346210]: 880ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1163 CSpxAudioStreamSession::StartRecognizing
[346210]: 880ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:455 [00000152CE53C6B0]CSpxAudioStreamSession::SetFormat: format != nullptr
[346210]: 880ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3425 [00000152CE53C6B0]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 4/1 => 4/2
[346210]: 880ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:460 [00000152CE53C6B0]CSpxAudioStreamSession::SetFormat: Now ProcessingAudio ...
[346210]: 880ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3241 CSpxAudioStreamSession::InformAdapterSetFormatStarting
[59973]: 880ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1106 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD stopped ***
[346210]: 880ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter_retry.cpp:19 CSpxUspRecoEngineAdapterRetry::InitDelegatePtr
[346210]: 881ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:48 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter
[703432]: 881ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:175 CSpxHandleTable::StopTracking(h) h=0x00000152B3FE5F00
[346210]: 881ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter: this=0x00000152CE5B1100
[703432]: 881ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:190 CSpxHandleTable::StopTracking(h) class=CSpxAsyncOp<void>, h=0x00000152B3FE5F00, p=0x00000152B3FE5F00, tot=0
[346210]: 881ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:48 CSpxUspRecoEngineAdapter::CSpxUspRecoEngineAdapter
[346210]: 881ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxUspRecoEngineAdapter' as '806006714'
[346210]: 881ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:62 CSpxUspRecoEngineAdapter::Init
[346210]: 881ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:63 CSpxUspRecoEngineAdapter::Init: this=0x00000152CE5B1100
[346210]: 881ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:62 CSpxUspRecoEngineAdapter::Init
[346210]: 881ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter_retry.cpp:19 CSpxUspRecoEngineAdapterRetry::InitDelegatePtr
[346210]: 881ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:111 CSpxUspRecoEngineAdapter::SetAdapterMode: singleShot=0
[346210]: 881ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:212 CSpxUspRecoEngineAdapter::SetFormat
[346210]: 881ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:213 CSpxUspRecoEngineAdapter::SetFormat: this=0x00000152CE5B1100
[346210]: 881ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:224 CSpxUspRecoEngineAdapter::SetFormat
  wFormatTag:      PCM
  nChannels:       1
  nSamplesPerSec:  16000
  nAvgBytesPerSec: 32000
  nBlockAlign:     2
  wBitsPerSample:  16
  cbSize:          0
[346210]: 881ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2837 CSpxUspRecoEngineAdapter::TryChangeState; audioState/uspState: 0/0 => 1/0 USP-START
[346210]: 881ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:246 CSpxUspRecoEngineAdapter::SetFormat: (0x00000152CE5B1100)->PrepareFirstAudioReadyState()
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3005 CSpxUspRecoEngineAdapter::ResetBeforeFirstAudio: this=0x00000152CE5B1100 ... USP-RESET
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2853 CSpxUspRecoEngineAdapter::PrepareCompressionCodec: Prepare compression codec.
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='SPEECH-Compression-Codec-Module'; value=''
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2915 CSpxUspRecoEngineAdapter::PrepareFirstAudioReadyState: (0x00000152CE5B1100)->PrepareCompressionCodec() result:        4. Sending the audio uncompressed
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='C#'
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='SPEECH-UserDefinedQueryParameters'; value='traffictype=spx'
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxPropertyBagImpl::SetStringValue: this=0x00000152CE53C798; name='HttpHeader#User-agent'; value='spx SpeechSDK-C#/1.21.0 Windows Client 8'
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:336 CSpxUspRecoEngineAdapter::UspInitialize: this=0x00000152CE5B1100
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxUspCallbackWrapper' as '978711522'
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='SessionId'; value='ead52543950440c0ad3d7225d89d1f47'
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1818 CSpxAudioStreamSession::GetScenarioCount: countSpeech=0; countIntent=0; countTranslation=1; countDialog=0, countTranscriber=0, countLanguageId=0
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='SPEECH-UserDefinedQueryParameters'; value='traffictype=spx'
[346210]: 882ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:527 CSpxUspRecoEngineAdapter::SetUspEndpoint: Using user provided query parameters: traffictype=spx
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:707 CSpxUspRecoEngineAdapter::SetUspEndpointTranslation: Endpoint type: Translation.
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='SPEECH-Region'; value='***** Error!! REGION not found ... USE "spx config @region --set PUT-YOUR-REGION-HERE"'
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='SPEECH-RecoLanguage'; value='en-US'
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='TRANSLATION-ToLanguages'; value='de-DE'
[346210]: 883ms SPX_TRACE_INFO:  usp_reco_engine_adapter.cpp:1044 Unknown SpeechServiceConnection_SingleLanguageIdPriority value  or SpeechServiceConnection_ContinuousLanguageIdPriority value .
[346210]: 883ms SPX_TRACE_INFO:  usp_reco_engine_adapter.cpp:1116 Unknown SpeechServiceConnection_SingleLanguageIdPriority value  or SpeechServiceConnection_ContinuousLanguageIdPriority value .
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:608 CSpxUspRecoEngineAdapter::SetUspLanguageIdModeAndPriority: languageIdMode=0, languageIdPriority=0
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='SPEECH-RecoMode'; value='CONVERSATION'
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:584 CSpxUspRecoEngineAdapter::SetUspRecoMode: recoMode=1
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:571 CSpxUspRecoEngineAdapter::SetUspEndpoint: Setting Websocket Polling interval to 10
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='SPEECH-SubscriptionKey'; value='****************************************************************************************E"'
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::FindPrefix: this=0x00000152CE5B1170; name='User-agent'; value='spx SpeechSDK-C#/1.21.0 Windows Client 8'
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='SPEECH-ProxyHostBypass'; value=''
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='C#'
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='AudioConfig_AudioSource'; value='Microphones'
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='SPEECH-MicrophoneNiceName'; value='Microphone Array (Realtek High Definition Audio(SST))'
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='AudioConfig_SampleRateForCapture'; value='16000'
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000152CE5B1170; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[346210]: 883ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxUspConnection' as '792041254'
[346210]: 885ms SPX_TRACE_INFO:  usp_connection.cpp:460 Microsoft::CognitiveServices::Speech::USP::CSpxUspConnection::Connect: entering...
[346210]: 885ms SPX_TRACE_INFO:  usp_connection.cpp:477 Adding subscription key headers
[346210]: 885ms SPX_TRACE_INFO:  usp_connection.cpp:512 Set a user defined HTTP header 'User-agent':'spx SpeechSDK-C#/1.21.0 Windows Client 8'
[346210]: 885ms SPX_TRACE_INFO:  usp_connection.cpp:527 connectionUrl=wss://***** Error!! REGION not found ... USE "spx config @region --set PUT-YOUR-REGION-HERE".s2s.speech.microsoft.com/speech/translation/cognitiveservices/v1?from=en-US&to=de-DE&traffictype=spx
[346210]: 885ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxTelemetry' as '151041793'
[346210]: 885ms SPX_DBG_TRACE_SCOPE_ENTER:  web_socket.cpp:284 CSpxWebSocket::CSpxWebSocket
[346210]: 885ms SPX_DBG_TRACE_SCOPE_EXIT:  web_socket.cpp:284 CSpxWebSocket::CSpxWebSocket
[346210]: 885ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxWebSocket' as '482598724'
[346210]: 885ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxPropertyBagImpl::SetStringValue: this=0x00000152CE53C798; name='SPEECH-ConnectionUrl'; value='wss://***** Error!! REGION not found ... USE "spx config @region --set PUT-YOUR-REGION-HERE".s2s.speech.microsoft.com/speech/translation/cognitiveservices/v1?from=en-US&to=de-DE&traffictype=spx'
[346210]: 885ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:1164 speech.config {"context":{"system":{"version":"1.21.0","name":"SpeechSDK","build":"Windows-x64","lang":"C#"},"os":{"name":"Client","version":"8","platform":"Windows"},"audio":{"source":{"type":"Microphones","model":"Microphone Array (Realtek High Definition Audio(SST))","samplerate":"16000","bitspersample":"16","channelcount":"1"}}}}
[346210]: 885ms SPX_TRACE_INFO:  usp_connection.cpp:761 Create requestId  for messageType 0
[346210]: 885ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:212 CSpxUspRecoEngineAdapter::SetFormat
[346210]: 885ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3241 CSpxAudioStreamSession::InformAdapterSetFormatStarting
[346210]: 886ms SPX_TRACE_INFO:  web_socket.cpp:952 CSpxWebSocket::DoWork: open transport.
[346210]: 886ms SPX_TRACE_INFO:  web_socket.cpp:646 Start to open websocket. WebSocket: 0xce5bd7d0, wsio handle: 0xce512500
[346210]: 887ms SPX_TRACE_ERROR: AZ_LOG_ERROR:  socketio_win32.c:301 Failure: getaddrinfo failure 11003.
[346210]: 887ms SPX_TRACE_ERROR:  web_socket.cpp:1055 WS open operation failed with result=1(WS_OPEN_ERROR_UNDERLYING_IO_OPEN_FAILED), code=11003[0x00002afb]
[346210]: 887ms SPX_TRACE_INFO:  usp_connection.cpp:907 TS:4, TransportError: connection:0xcdf2c8f0, code=5, string=Connection failed (no connection to the remote host). Internal error: 1. Error details: Failed with error: WS_OPEN_ERROR_UNDERLYING_IO_OPEN_FAILED [0x80000001 | 11003]
wss://***** Error!! REGION not found ... USE "spx config @region --set PUT-YOUR-REGION-HERE".s2s.speech.microsoft.com/speech/translation/cognitiveservices/v1?from=en-US&to=de-DE&traffictype=spx
X-ConnectionId: ead52543950440c0ad3d7225d89d1f47
[346210]: 887ms SPX_TRACE_ERROR:  usp_reco_engine_adapter.cpp:2130 Response: On Error: Code:5, Message: Connection failed (no connection to the remote host). Internal error: 1. Error details: Failed with error: WS_OPEN_ERROR_UNDERLYING_IO_OPEN_FAILED [0x80000001 | 11003]
wss://***** Error!! REGION not found ... USE "spx config @region --set PUT-YOUR-REGION-HERE".s2s.speech.microsoft.com/speech/translation/cognitiveservices/v1?from=en-US&to=de-DE&traffictype=spx
X-ConnectionId: ead52543950440c0ad3d7225d89d1f47.
[346210]: 887ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:2837 CSpxUspRecoEngineAdapter::TryChangeState; audioState/uspState: 1/0 => 1/-1 USP-ERRORERROR
[346210]: 887ms SPX_TRACE_ERROR:  usp_reco_engine_adapter.cpp:2144 CSpxUspRecoEngineAdapter::OnError: site->Error() ... error='Connection failed (no connection to the remote host). Internal error: 1. Error details: Failed with error: WS_OPEN_ERROR_UNDERLYING_IO_OPEN_FAILED [0x80000001 | 11003]
wss://***** Error!! REGION not found ... USE "spx config @region --set PUT-YOUR-REGION-HERE".s2s.speech.microsoft.com/speech/translation/cognitiveservices/v1?from=en-US&to=de-DE&traffictype=spx
X-ConnectionId: ead52543950440c0ad3d7225d89d1f47'
[346210]: 887ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter_retry.cpp:134 CSpxUspRecoEngineAdapterRetry::ShouldReconnect: Should Reconnect: 1
[882266]: 979ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxBufferProperties' as '809583448'
[882266]: 980ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxReadWriteRingBuffer' as '956428994'
[882266]: 980ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxReadWriteRingBuffer' as '956428994'
[882266]: 980ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:523 Received audio chunk: time: 2022-05-27T11:42:34.6999439Z, size:3200.
[882266]: 980ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:537 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[882266]: 980ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:158 [00000152CE566900] m_bytesTransited = 3200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[882266]: 1080ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:523 Received audio chunk: time: 2022-05-27T11:42:34.8003988Z, size:3200.
[882266]: 1080ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:537 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[882266]: 1080ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:158 [00000152CE566900] m_bytesTransited = 6400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[346210]: 1150ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter_retry.cpp:94 CSpxUspRecoEngineAdapterRetry::StartReconnect: Trying to reset the engine adapter
[346210]: 1150ms SPX_DBG_TRACE_VERBOSE:  create_object_helpers.h:78 SpxTerm: ptr=0x00000152CE5B1158
[346210]: 1150ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:90 Terminating CSpxUspRecoEngineAdapter...
